Sl_No,Datetime,Hourly_Temp
212,8:00:00 PM,21.55
213,9:00:00 PM,20.933
214,10:00:00 PM,20.3
215,11:00:00 PM,19.933
216,12:00:00 AM,19.55
217,1:00:00 AM,19.167
218,2:00:00 AM,18.733
219,3:00:00 AM,18.233
220,4:00:00 AM,17.733
221,5:00:00 AM,17.35
222,6:00:00 AM,17.733
223,7:00:00 AM,21.633
224,8:00:00 AM,21.467
225,9:00:00 AM,20.867
226,10:00:00 AM,20.85
227,11:00:00 AM,21.233
228,12:00:00 PM,21.775
229,1:00:00 PM,22.667
230,2:00:00 PM,23.533
231,3:00:00 PM,24
232,4:00:00 PM,23.867
233,5:00:00 PM,23.35
234,6:00:00 PM,22.6
235,7:00:00 PM,21.9
236,8:00:00 PM,21.233
237,9:00:00 PM,21.533
238,10:00:00 PM,22.4
239,11:00:00 PM,26.05
240,12:00:00 AM,25.1
241,1:00:00 AM,23.3
242,2:00:00 AM,21.8
243,3:00:00 AM,20.733
244,4:00:00 AM,19.9
245,5:00:00 AM,19.3
246,6:00:00 AM,19.667
247,7:00:00 AM,20.667
248,8:00:00 AM,21.433
249,9:00:00 AM,22.533
250,10:00:00 AM,18.233
251,11:00:00 AM,17.9
252,12:00:00 PM,12.5
253,1:00:00 PM,9.65
254,2:00:00 PM,17.3
255,3:00:00 PM,25.75
256,4:00:00 PM,26.733
257,5:00:00 PM,25.467
258,6:00:00 PM,24.067
259,7:00:00 PM,23.067
260,8:00:00 PM,22.3
261,9:00:00 PM,21.533
262,10:00:00 PM,23.033
263,11:00:00 PM,26.15
264,12:00:00 AM,24.833
265,1:00:00 AM,23.3
266,2:00:00 AM,22.033
267,3:00:00 AM,20.833
268,4:00:00 AM,19.9
269,5:00:00 AM,19.2
270,6:00:00 AM,18.9
271,7:00:00 AM,20.55
272,8:00:00 AM,21.2
273,9:00:00 AM,21.767
274,10:00:00 AM,22.9
275,11:00:00 AM,13.933
276,12:00:00 PM,21.4
277,1:00:00 PM,14.133
278,2:00:00 PM,18.1
279,3:00:00 PM,18.433
280,4:00:00 PM,13.45
281,5:00:00 PM,23.4
282,6:00:00 PM,23.067
283,7:00:00 PM,23.867
284,8:00:00 PM,22.4
285,9:00:00 PM,22.167
286,10:00:00 PM,21.95
287,11:00:00 PM,26.3
288,12:00:00 AM,25.267
289,1:00:00 AM,23.433
290,2:00:00 AM,21.933
291,3:00:00 AM,20.8
292,4:00:00 AM,20.05
293,5:00:00 AM,19.533
294,6:00:00 AM,19.167
295,7:00:00 AM,20.3
296,8:00:00 AM,21.9
297,9:00:00 AM,22.5
298,10:00:00 AM,16.467
299,11:00:00 AM,23.4
300,12:00:00 PM,17.133
301,1:00:00 PM,11.933
302,2:00:00 PM,10.2
303,3:00:00 PM,12.6
304,4:00:00 PM,17.4
305,5:00:00 PM,16.033
306,6:00:00 PM,15.667
307,7:00:00 PM,23.15
308,8:00:00 PM,15.8
309,9:00:00 PM,15.8
310,10:00:00 PM,22.733
311,11:00:00 PM,26.167
312,12:00:00 AM,24.633
313,1:00:00 AM,23.35
314,2:00:00 AM,22.333
315,3:00:00 AM,21.5
316,4:00:00 AM,20.967
317,5:00:00 AM,20.5
318,6:00:00 AM,20.233
319,7:00:00 AM,23.5
320,8:00:00 AM,22.9
321,9:00:00 AM,22.1
322,10:00:00 AM,22.1
323,11:00:00 AM,22.633
324,12:00:00 PM,23.35
325,1:00:00 PM,24.033
326,2:00:00 PM,24.667
327,3:00:00 PM,24.9
328,4:00:00 PM,24.8
329,5:00:00 PM,24.367
330,6:00:00 PM,23.8
331,7:00:00 PM,23.2
332,8:00:00 PM,22.667
333,9:00:00 PM,22.25
334,10:00:00 PM,22.033
335,11:00:00 PM,21.867
336,12:00:00 AM,21.467
337,1:00:00 AM,21.15
338,2:00:00 AM,20.8
339,3:00:00 AM,20.367
340,4:00:00 AM,19.967
341,5:00:00 AM,19.65
342,6:00:00 AM,19.5
343,7:00:00 AM,19.267
344,8:00:00 AM,19.3
345,9:00:00 AM,19.8
346,10:00:00 AM,20.45
347,11:00:00 AM,21.3
348,12:00:00 PM,22.175
349,1:00:00 PM,23
350,2:00:00 PM,23.867
351,3:00:00 PM,24.367
352,4:00:00 PM,24.35
353,5:00:00 PM,24
354,6:00:00 PM,23.3
355,7:00:00 PM,22.55
356,8:00:00 PM,21.933
357,9:00:00 PM,21.3
358,10:00:00 PM,20.733
359,11:00:00 PM,20.2
360,12:00:00 AM,19.667
361,1:00:00 AM,19.35
362,2:00:00 AM,19.1
363,3:00:00 AM,18.8
364,4:00:00 AM,18.5
365,5:00:00 AM,18.4
366,6:00:00 AM,19.6
367,7:00:00 AM,22.667
368,8:00:00 AM,25.067
369,9:00:00 AM,23.467
370,10:00:00 AM,22.533
371,11:00:00 AM,22.5
372,12:00:00 PM,22.85
373,1:00:00 PM,23.333
374,2:00:00 PM,23.8
375,3:00:00 PM,23.9
376,4:00:00 PM,23.75
377,5:00:00 PM,23.3
378,6:00:00 PM,22.7
379,7:00:00 PM,22.167
380,8:00:00 PM,21.75
381,9:00:00 PM,21.333
382,10:00:00 PM,21
383,11:00:00 PM,20.9
384,12:00:00 AM,20.633
385,1:00:00 AM,20.3
386,2:00:00 AM,20
387,3:00:00 AM,19.75
388,4:00:00 AM,19.467
389,5:00:00 AM,19.233
390,6:00:00 AM,20.333
391,7:00:00 AM,18.6
392,8:00:00 AM,15.6
393,9:00:00 AM,15.3
394,10:00:00 AM,12.1
395,11:00:00 AM,9.6
396,12:00:00 PM,10.4
397,1:00:00 PM,10.233
398,2:00:00 PM,10
399,3:00:00 PM,10.033
400,4:00:00 PM,10.267
401,5:00:00 PM,9.933
402,6:00:00 PM,9.233
403,7:00:00 PM,13.633
404,8:00:00 PM,24.533
405,9:00:00 PM,23.667
406,10:00:00 PM,22.433
407,11:00:00 PM,21.9
408,12:00:00 AM,21.6
409,1:00:00 AM,21.233
410,2:00:00 AM,20.833
411,3:00:00 AM,20.45
412,4:00:00 AM,20.133
413,5:00:00 AM,19.733
414,6:00:00 AM,20.033
415,7:00:00 AM,16.633
416,8:00:00 AM,20.25
417,9:00:00 AM,10.85
418,10:00:00 AM,13.1
419,11:00:00 AM,9.267
420,12:00:00 PM,9.833
421,1:00:00 PM,10
422,2:00:00 PM,9.967
423,3:00:00 PM,9.8
424,4:00:00 PM,8.7
425,5:00:00 PM,12.133
426,6:00:00 PM,11.3
427,7:00:00 PM,11.4
428,8:00:00 PM,13.967
429,9:00:00 PM,12.933
430,10:00:00 PM,10.6
431,11:00:00 PM,24.033
432,12:00:00 AM,24.5
433,1:00:00 AM,23.55
434,2:00:00 AM,22.6
435,3:00:00 AM,21.667
436,4:00:00 AM,20.85
437,5:00:00 AM,20.25
438,6:00:00 AM,20.3
439,7:00:00 AM,16.15
440,8:00:00 AM,11.633
441,9:00:00 AM,11.2
442,10:00:00 AM,12.25
443,11:00:00 AM,8.667
444,12:00:00 PM,8.533
445,1:00:00 PM,10.933
446,2:00:00 PM,9.1
447,3:00:00 PM,10
448,4:00:00 PM,23.075
449,5:00:00 PM,25.033
450,6:00:00 PM,24.433
451,7:00:00 PM,23.933
452,8:00:00 PM,23.15
453,9:00:00 PM,22.6
454,10:00:00 PM,22.167
455,11:00:00 PM,22.033
456,12:00:00 AM,22.067
457,1:00:00 AM,21.967
458,2:00:00 AM,21.65
459,3:00:00 AM,21.333
460,4:00:00 AM,20.833
461,5:00:00 AM,20.5
462,6:00:00 AM,17.7
463,7:00:00 AM,16.45
464,8:00:00 AM,13.133
465,9:00:00 AM,11.633
466,10:00:00 AM,7.067
467,11:00:00 AM,7.4
468,12:00:00 PM,7.8
469,1:00:00 PM,8.167
470,2:00:00 PM,8.567
471,3:00:00 PM,8.2
472,4:00:00 PM,7.7
473,5:00:00 PM,11.767
474,6:00:00 PM,12.3
475,7:00:00 PM,12.3
476,8:00:00 PM,13.2
477,9:00:00 PM,13.167
478,10:00:00 PM,15
479,11:00:00 PM,24.6
480,12:00:00 AM,25.9
481,1:00:00 AM,24.6
482,2:00:00 AM,23.2
483,3:00:00 AM,22.1
484,4:00:00 AM,21.45
485,5:00:00 AM,20.933
486,6:00:00 AM,20.867
487,7:00:00 AM,14.833
488,8:00:00 AM,9.25
489,9:00:00 AM,11.3
490,10:00:00 AM,9.067
491,11:00:00 AM,8.267
492,12:00:00 PM,10.567
493,1:00:00 PM,9.05
494,2:00:00 PM,9.167
495,3:00:00 PM,12.133
496,4:00:00 PM,9.7
497,5:00:00 PM,16.267
498,6:00:00 PM,15.667
499,7:00:00 PM,17.867
500,8:00:00 PM,13.5
501,9:00:00 PM,11.267
502,10:00:00 PM,10.933
503,11:00:00 PM,18.7
504,12:00:00 AM,22.633
505,1:00:00 AM,22.833
506,2:00:00 AM,22.3
507,3:00:00 AM,21.6
508,4:00:00 AM,21
509,5:00:00 AM,20.6
510,6:00:00 AM,20.367
511,7:00:00 AM,20.333
512,8:00:00 AM,20.6
513,9:00:00 AM,21.1
514,10:00:00 AM,21.733
515,11:00:00 AM,17.4
516,12:00:00 PM,22.233
517,1:00:00 PM,23.45
518,2:00:00 PM,23.867
519,3:00:00 PM,24
520,4:00:00 PM,24.1
521,5:00:00 PM,23.9
522,6:00:00 PM,23.4
523,7:00:00 PM,22.767
524,8:00:00 PM,21.967
525,9:00:00 PM,21.267
526,10:00:00 PM,20.767
527,11:00:00 PM,20.4
528,12:00:00 AM,20.133
529,1:00:00 AM,20
530,2:00:00 AM,19.667
531,3:00:00 AM,19.35
532,4:00:00 AM,19.1
533,5:00:00 AM,12.3
534,6:00:00 AM,15.633
535,7:00:00 AM,19.567
536,8:00:00 AM,20
537,9:00:00 AM,19.567
538,10:00:00 AM,19.6
539,11:00:00 AM,20.067
540,12:00:00 PM,20.533
541,1:00:00 PM,20.95
542,2:00:00 PM,21.3
543,3:00:00 PM,21.6
544,4:00:00 PM,21.4
545,5:00:00 PM,21
546,6:00:00 PM,20.433
547,7:00:00 PM,19.833
548,8:00:00 PM,19.4
549,9:00:00 PM,19
550,10:00:00 PM,18.75
551,11:00:00 PM,18.6
552,12:00:00 AM,18.3
553,1:00:00 AM,18.05
554,2:00:00 AM,17.8
555,3:00:00 AM,17.475
556,4:00:00 AM,16.933
557,5:00:00 AM,16.4
558,6:00:00 AM,17.667
559,7:00:00 AM,21.3
560,8:00:00 AM,20.567
561,9:00:00 AM,19.933
562,10:00:00 AM,19.95
563,11:00:00 AM,20.35
564,12:00:00 PM,21.167
565,1:00:00 PM,22.1
566,2:00:00 PM,22.367
567,3:00:00 PM,21.833
568,4:00:00 PM,15.1
569,5:00:00 PM,13.533
570,6:00:00 PM,13.45
571,7:00:00 PM,14.433
572,8:00:00 PM,14.333
573,9:00:00 PM,23.033
574,10:00:00 PM,22.75
575,11:00:00 PM,21.2
576,12:00:00 AM,19.633
577,1:00:00 AM,18.4
578,2:00:00 AM,17.5
579,3:00:00 AM,17.767
580,4:00:00 AM,18.8
581,5:00:00 AM,19.433
582,6:00:00 AM,15.3
583,7:00:00 AM,12.1
584,8:00:00 AM,15.033
585,9:00:00 AM,9.267
586,10:00:00 AM,8.267
587,11:00:00 AM,5.7
588,12:00:00 PM,13.267
589,1:00:00 PM,9.467
590,2:00:00 PM,16.8
591,3:00:00 PM,9.7
592,4:00:00 PM,12.3
593,5:00:00 PM,20.533
594,6:00:00 PM,13.767
595,7:00:00 PM,14.533
596,8:00:00 PM,17.8
597,9:00:00 PM,23.75
598,10:00:00 PM,23.167
599,11:00:00 PM,21.3
600,12:00:00 AM,19.8
601,1:00:00 AM,18.8
602,2:00:00 AM,18.05
603,3:00:00 AM,17.5
604,4:00:00 AM,17.033
605,5:00:00 AM,16.767
606,6:00:00 AM,17.033
607,7:00:00 AM,17.7
608,8:00:00 AM,18.5
609,9:00:00 AM,19.433
610,10:00:00 AM,20.5
611,11:00:00 AM,21.567
612,12:00:00 PM,22.5
613,1:00:00 PM,23.2
614,2:00:00 PM,23.4
615,3:00:00 PM,23.167
616,4:00:00 PM,22.5
617,5:00:00 PM,21.8
618,6:00:00 PM,21.167
619,7:00:00 PM,20.433
620,8:00:00 PM,19.833
621,9:00:00 PM,19.333
622,10:00:00 PM,18.9
623,11:00:00 PM,18.5
624,12:00:00 AM,18.2
625,1:00:00 AM,17.9
626,2:00:00 AM,17.6
627,3:00:00 AM,19.133
628,4:00:00 AM,18.467
629,5:00:00 AM,13
630,6:00:00 AM,13.967
631,7:00:00 AM,15.6
632,8:00:00 AM,15.567
633,9:00:00 AM,6.3
634,10:00:00 AM,5.867
635,11:00:00 AM,6.6
636,12:00:00 PM,7.3
637,1:00:00 PM,7.375
638,2:00:00 PM,9.6
639,3:00:00 PM,14
640,4:00:00 PM,13.867
641,5:00:00 PM,15.167
642,6:00:00 PM,10.067
643,7:00:00 PM,13.967
644,8:00:00 PM,19.467
645,9:00:00 PM,14.833
646,10:00:00 PM,16.633
647,11:00:00 PM,23.467
648,12:00:00 AM,22.033
649,1:00:00 AM,20.8
650,2:00:00 AM,19.8
651,3:00:00 AM,19.2
652,4:00:00 AM,14.033
653,5:00:00 AM,14.367
654,6:00:00 AM,14.833
655,7:00:00 AM,5.35
656,8:00:00 AM,10.467
657,9:00:00 AM,5.633
658,10:00:00 AM,6.433
659,11:00:00 AM,6.95
660,12:00:00 PM,7.2
661,1:00:00 PM,7.233
662,2:00:00 PM,9.633
663,3:00:00 PM,6.8
664,4:00:00 PM,13.133
665,5:00:00 PM,13.867
666,6:00:00 PM,14
667,7:00:00 PM,13.6
668,8:00:00 PM,10.65
669,9:00:00 PM,20.233
670,10:00:00 PM,20.475
671,11:00:00 PM,20.267
672,12:00:00 AM,20.1
673,1:00:00 AM,19.95
674,2:00:00 AM,19.7
675,3:00:00 AM,19.5
676,4:00:00 AM,19.267
677,5:00:00 AM,19.733
678,6:00:00 AM,15.633
679,7:00:00 AM,18.5
680,8:00:00 AM,12.3
681,9:00:00 AM,6.65
682,10:00:00 AM,22.35
683,11:00:00 AM,17
684,12:00:00 PM,8.033
685,1:00:00 PM,7.5
686,2:00:00 PM,6.667
687,3:00:00 PM,25.8
688,4:00:00 PM,13.35
689,5:00:00 PM,14.867
690,6:00:00 PM,16.033
691,7:00:00 PM,20.733
692,8:00:00 PM,16.5
693,9:00:00 PM,20.525
694,10:00:00 PM,20.533
695,11:00:00 PM,20.35
696,12:00:00 AM,20.167
697,1:00:00 AM,20.067
698,2:00:00 AM,19.933
699,3:00:00 AM,20.1
700,4:00:00 AM,20.1
701,5:00:00 AM,20.367
702,6:00:00 AM,14.167
703,7:00:00 AM,14.1
704,8:00:00 AM,5.967
705,9:00:00 AM,7.05
706,10:00:00 AM,8.1
707,11:00:00 AM,9.9
708,12:00:00 PM,9.9
709,1:00:00 PM,9.167
710,2:00:00 PM,7.6
711,3:00:00 PM,6.3
712,4:00:00 PM,11.967
713,5:00:00 PM,9.933
714,6:00:00 PM,10.4
715,7:00:00 PM,14.6
716,8:00:00 PM,14.267
717,9:00:00 PM,10.65
718,10:00:00 PM,13.833
719,11:00:00 PM,15.433
720,12:00:00 AM,19.1
721,1:00:00 AM,14.367
722,2:00:00 AM,14.767
723,3:00:00 AM,20.5
724,4:00:00 AM,10.45
725,5:00:00 AM,11
726,6:00:00 AM,11.3
727,7:00:00 AM,9.267
728,8:00:00 AM,6.55
729,9:00:00 AM,7.7
730,10:00:00 AM,8
731,11:00:00 AM,9.333
732,12:00:00 PM,9.733
733,1:00:00 PM,9.133
734,2:00:00 PM,8.1
735,3:00:00 PM,17.333
736,4:00:00 PM,11.967
737,5:00:00 PM,12.967
738,6:00:00 PM,11.725
739,7:00:00 PM,15.933
740,8:00:00 PM,13
741,9:00:00 PM,15.533
742,10:00:00 PM,14
743,11:00:00 PM,18.133
744,12:00:00 AM,17.9
745,1:00:00 AM,20.733
746,2:00:00 AM,20.467
747,3:00:00 AM,20.267
748,4:00:00 AM,20.45
749,5:00:00 AM,16.367
750,6:00:00 AM,13.833
751,7:00:00 AM,5.633
752,8:00:00 AM,10.9
753,9:00:00 AM,7.367
754,10:00:00 AM,16.55
755,11:00:00 AM,9.45
756,12:00:00 PM,9.833
757,1:00:00 PM,9.833
758,2:00:00 PM,9.067
759,3:00:00 PM,7.5
760,4:00:00 PM,9.7
761,5:00:00 PM,10.767
762,6:00:00 PM,10.433
763,7:00:00 PM,10.267
764,8:00:00 PM,15.6
765,9:00:00 PM,14.633
766,10:00:00 PM,14.067
767,11:00:00 PM,13.167
768,12:00:00 AM,28.2
769,1:00:00 AM,30.1
770,2:00:00 AM,30.9
771,3:00:00 AM,31.1
772,4:00:00 AM,14.5
773,5:00:00 AM,15.2
774,6:00:00 AM,7.033
775,7:00:00 AM,7.433
776,8:00:00 AM,8.333
777,9:00:00 AM,9.167
778,10:00:00 AM,9.575
779,11:00:00 AM,10.15
780,12:00:00 PM,10.567
781,1:00:00 PM,10.133
782,2:00:00 PM,9.167
783,3:00:00 PM,8.233
784,4:00:00 PM,8.3
785,5:00:00 PM,8.5
786,6:00:00 PM,8.067
787,7:00:00 PM,11.167
788,8:00:00 PM,8.35
789,9:00:00 PM,14.9
790,10:00:00 PM,10.333
791,11:00:00 PM,10.367
792,12:00:00 AM,14.333
793,1:00:00 AM,13.5
794,2:00:00 AM,13.867
795,3:00:00 AM,18.267
796,4:00:00 AM,15
797,5:00:00 AM,11.5
798,6:00:00 AM,7
799,7:00:00 AM,6.325
800,8:00:00 AM,6.6
801,9:00:00 AM,7.333
802,10:00:00 AM,7.95
803,11:00:00 AM,8.7
804,12:00:00 PM,9.2
805,1:00:00 PM,8.967
806,2:00:00 PM,8.7
807,3:00:00 PM,8.067
808,4:00:00 PM,7.9
809,5:00:00 PM,11.467
810,6:00:00 PM,7.4
811,7:00:00 PM,11.367
812,8:00:00 PM,16.2
